Time,Weather,Cool%,Warm%,Power_mW
13:52:40,Clear,50.0,0.0,0.0
13:57:40,Clear,50.0,0.0,1.4899999999999998
2026-04-30,14:04:03,Clear,50.0,0.0,2.0119999999999996
2026-04-30,18:34:13,Clouds,30.0,70.0,0.0
2026-04-30,18:39:14,Clouds,30.0,70.0,8.751999999999999
2026-04-30,21:17:01,Clouds,0.0,100.0,0.0
2026-04-30,21:22:03,Clouds,0.0,100.0,8.341999999999999
2026-04-30,21:27:23,Error,0.0,100.0,8.303999999999998
2026-04-30,21:32:43,Error,0.0,100.0,8.315999999999999
2026-04-30,21:35:49,Clouds,0.0,100.0,7.945999999999999
2026-04-30,21:40:54,Error,0.0,100.0,8.263999999999998
2026-04-30,21:45:54,Clouds,0.0,100.0,8.247999999999998
2026-04-30,21:50:49,Clouds,0.0,100.0,0.003999999999999999
2026-04-30,21:55:50,Clouds,0.0,100.0,8.207999999999998
2026-04-30,22:00:50,Clouds,0.0,100.0,8.243999999999998
2026-04-30,22:05:51,Clouds,0.0,100.0,8.197999999999999
2026-04-30,22:10:51,Clouds,0.0,100.0,8.187999999999999
2026-04-30,22:15:55,Clouds,0.0,100.0,8.155999999999999
2026-04-30,22:20:55,Clouds,0.0,100.0,8.253999999999998
